Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[244]    0.0    0.00    0.01       2         .init_modules [244]
                0.00    0.01       1/1           .__module_wrf_quilt_NMOD_init_module_wrf_quilt [246]
                0.00    0.00       1/1           .__module_bc_NMOD_init_module_bc [649]
                0.00    0.00       1/1           .__module_driver_constants_NMOD_init_module_driver_constants [667]
                0.00    0.00       1/1           .__module_configure_NMOD_init_module_configure [652]
                0.00    0.00       1/1           .__module_domain_NMOD_init_module_domain [665]
                0.00    0.00       1/1           .__module_model_constants_NMOD_init_module_model_constants [671]
                0.00    0.00       1/2           .__module_ext_internal_NMOD_init_module_ext_internal [622]
                0.00    0.00       1/1           .__module_machine_NMOD_init_module_machine [670]
                0.00    0.00       1/1           .__module_dm_NMOD_split_communicator [660]
                0.00    0.00       1/1           .__module_dm_NMOD_init_module_dm [657]
                0.00    0.00       1/1           .__module_timing_NMOD_init_module_timing [704]
                0.00    0.00       1/1           .__module_nesting_NMOD_init_module_nesting [672]
                0.00    0.00       1/1           .__module_io_wrf_NMOD_init_module_io_wrf [669]
                0.00    0.00       1/1           .__module_tiles_NMOD_init_module_tiles [701]
                0.00    0.00       1/1           .init_modules_em [718]
                0.00    0.00       1/1           .__module_io_NMOD_init_module_io [668]
-----------------------------------------------
                0.00    0.01       1/1           .__module_wrf_quilt_NMOD_init_module_wrf_quilt [246]
[245]    0.0    0.00    0.01       1         .__module_wrf_quilt_NMOD_get_server_id [245]
                0.00    0.01       1/1           .__module_wrf_quilt_NMOD_setup_quilt_servers [247]
                0.00    0.00       1/7801        .wrf_get_dm_communicator [386]
                0.00    0.00       1/3           .wrf_set_dm_communicator [616]
-----------------------------------------------
                0.00    0.01       1/1           .init_modules [244]
[246]    0.0    0.00    0.01       1         .__module_wrf_quilt_NMOD_init_module_wrf_quilt [246]
                0.00    0.01       1/1           .__module_wrf_quilt_NMOD_get_server_id [245]
-----------------------------------------------
                0.00    0.01       1/1           .__module_wrf_quilt_NMOD_get_server_id [245]
[247]    0.0    0.00    0.01       1         .__module_wrf_quilt_NMOD_setup_quilt_servers [247]
                0.01    0.00       1/1           .nl_get_io_form_auxhist1 [248]
                0.00    0.00      13/13          .__module_wrf_quilt_NMOD_sokay [529]
                0.00    0.00       1/7           .nl_get_io_form_history [534]
                0.00    0.00       1/2           .nl_get_io_form_restart [629]
                0.00    0.00       1/1           .nl_get_io_form_auxhist2 [1138]
                0.00    0.00       1/1           .nl_get_io_form_auxhist3 [1139]
                0.00    0.00       1/1           .nl_get_io_form_auxhist4 [1140]
                0.00    0.00       1/1           .nl_get_io_form_auxhist5 [1141]
                0.00    0.00       1/1           .nl_get_io_form_auxhist6 [1142]
                0.00    0.00       1/1           .nl_get_io_form_auxhist7 [1143]
                0.00    0.00       1/1           .nl_get_io_form_auxhist8 [1144]
                0.00    0.00       1/1           .nl_get_io_form_auxhist9 [1145]
                0.00    0.00       1/1           .nl_get_io_form_auxhist10 [1136]
                0.00    0.00       1/1           .nl_get_io_form_auxhist11 [1137]
                0.00    0.00       1/14          .wrf_message [528]
-----------------------------------------------
                0.01    0.00       1/1           .__module_wrf_quilt_NMOD_setup_quilt_servers [247]
[248]    0.0    0.01    0.00       1         .nl_get_io_form_auxhist1 [248]
-----------------------------------------------
                                                 <spontaneous>
[249]    0.0    0.01    0.00                 .buffer_size_for_proc [249]
-----------------------------------------------
                                                 <spontaneous>
[250]    0.0    0.01    0.00                 .f_unpack_int [250]
-----------------------------------------------
                0.00    0.00       1/462         .__module_domain_NMOD_domain_setgmtetc [307]
                0.00    0.00     150/462         .__module_first_rk_step_part1_NMOD_first_rk_step_part1 [12]
                0.00    0.00     152/462         .__module_domain_NMOD_domain_clock_get <cycle 1> [260]
                0.00    0.00     159/462         .wrf_timetoa <cycle 1> [259]
[251]    0.0    0.01    0.00     462         .__esmf_timemod_NMOD_esmf_timeget [251]
                0.00    0.00     159/318         .timegetmonth [451]
                0.00    0.00     159/159         .timegetdayofmonth [478]
                0.00    0.00     159/159         .__esmf_timemod_NMOD_esmfold_timegetstring [471]
                0.00    0.00     151/151         .__esmf_timemod_NMOD_esmf_timegetdayofyearinteger [486]
-----------------------------------------------
                0.00    0.00       1/29168       .get_current_time_string <cycle 1> [353]
                0.00    0.00     307/29168       .wrf_clockprint [291]
                0.01    0.00   28860/29168       .wrf_debug <cycle 1> [254]
[252]    0.0    0.01    0.00   29168         .get_wrf_debug_level [252]
-----------------------------------------------
                0.00    0.01     150/150         .__module_integrate_NMOD_integrate [3]
[253]    0.0    0.00    0.01     150         .med_setup_step [253]
                0.01    0.00     150/303         .set_scalar_indices_from_config [229]
-----------------------------------------------
                0.00    0.00     159             .wrf_timetoa <cycle 1> [259]
                0.00    0.00       1/29846       .__module_alloc_space_NMOD_alloc_space_field_core [123]
                0.00    0.00       1/29846       .__module_io_NMOD_wrf_ioinit [344]
                0.00    0.00       1/29846       .__module_io_NMOD_wrf_ioexit [343]
                0.00    0.00       1/29846       .__module_io_NMOD_wrf_inquire_opened [347]
                0.00    0.00       1/29846       .ext_gr1_ioinit [349]
                0.00    0.00       1/29846       .ext_gr1_ioexit [348]
                0.00    0.00       2/29846       .__module_wrf_top_NMOD_wrf_run [2]
                0.00    0.00       2/29846       .__module_wrf_top_NMOD_wrf_finalize [331]
                0.00    0.00       2/29846       .__module_bc_NMOD_boundary_condition_check [342]
                0.00    0.00       2/29846       .med_hist_out [181]
                0.00    0.00       2/29846       .open_hist_w [199]
                0.00    0.00       2/29846       .__module_io_NMOD_wrf_open_for_write_begin [340]
                0.00    0.00       2/29846       .__module_io_NMOD_wrf_open_for_write_commit [341]
                0.00    0.00       2/29846       .__module_io_NMOD_wrf_open_for_read [339]
                0.00    0.00       2/29846       .__module_io_NMOD_wrf_iosync [338]
                0.00    0.00       2/29846       .__module_comm_dm_NMOD_halo_em_init_1_sub [318]
                0.00    0.00       2/29846       .__module_comm_dm_NMOD_halo_em_init_2_sub [319]
                0.00    0.00       2/29846       .__module_comm_dm_NMOD_halo_em_init_3_sub [320]
                0.00    0.00       2/29846       .__module_comm_dm_NMOD_halo_em_init_4_sub [321]
                0.00    0.00       2/29846       .__module_comm_dm_NMOD_halo_em_init_5_sub [322]
                0.00    0.00       2/29846       .__module_comm_dm_NMOD_period_bdy_em_init_sub [336]
                0.00    0.00       2/29846       .__module_comm_dm_NMOD_period_bdy_em_tke_sub [337]
                0.00    0.00       3/29846       .__module_domain_NMOD_domain_setgmtetc [307]
                0.00    0.00       3/29846       .setup_timekeeping [309]
                0.00    0.00       3/29846       .start_domain_em [103]
                0.00    0.00       4/29846       .__module_wrf_top_NMOD_wrf_init [90]
                0.00    0.00       4/29846       .__module_io_NMOD_wrf_ioclose [332]
                0.00    0.00       6/29846       .__module_io_NMOD_wrf_get_next_time [330]
                0.00    0.00       7/29846       .__module_io_NMOD_wrf_get_dom_ti_char_arr [329]
                0.00    0.00      10/29846       .__module_io_domain_NMOD_open_w_dataset [203]
                0.00    0.00      10/29846       .__module_io_NMOD_wrf_get_dom_td_char_arr [324]
                0.00    0.00      10/29846       .__module_io_NMOD_wrf_inquire_filename [325]
                0.00    0.00      10/29846       .__module_physics_init_NMOD_phy_init [104]
                0.00    0.00      12/29846       .__module_io_NMOD_wrf_put_dom_ti_real_arr [323]
                0.00    0.00      12/29846       .__module_radiation_driver_NMOD_radiation_driver [43]
                0.00    0.00      12/29846       .ext_ncd_get_dom_ti_real [316]
                0.00    0.00      12/29846       .ext_ncd_get_dom_ti_integer [317]
                0.00    0.00      20/29846       .__module_io_NMOD_wrf_put_dom_ti_char_arr [315]
                0.00    0.00      32/29846       .output_wrf [139]
                0.00    0.00      44/29846       .__module_io_NMOD_wrf_get_dom_ti_integer_sca [308]
                0.00    0.00      49/29846       .__module_io_NMOD_wrf_get_dom_ti_real_sca [306]
                0.00    0.00      56/29846       .__module_io_NMOD_wrf_put_dom_ti_real_sca [305]
                0.00    0.00     112/29846       .__module_io_NMOD_wrf_put_dom_ti_integer_sca [303]
                0.00    0.00     120/29846       .__module_io_NMOD_wrf_put_dom_ti_integer_arr [302]
                0.00    0.00     137/29846       .input_wrf [160]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_phys_a_sub [273]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_phys_pbl_sub [241]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_fdda_sfc_sub [270]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_phys_diffusion_sub [274]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_tke_c_sub [277]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_tke_d_sub [278]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_tke_e_sub [279]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_tke_7_sub [276]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_d3_5_sub [268]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_e_5_sub [269]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_moist_e_7_sub [271]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_moist_old_e_7_sub [272]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_chem_old_e_7_sub [267]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_halo_em_scalar_old_e_7_sub [275]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_period_bdy_em_moist_old_sub [299]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_period_bdy_em_chem_old_sub [297]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_period_bdy_em_scalar_old_sub [301]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_period_bdy_em_a1_sub [296]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_period_bdy_em_phy_bc_sub [300]
                0.00    0.00     150/29846       .__module_comm_dm_NMOD_period_bdy_em_d3_sub [298]
                0.00    0.00     150/29846       .__module_pbl_driver_NMOD_pbl_driver [29]
                0.00    0.00     150/29846       .__module_cumulus_driver_NMOD_cumulus_driver [74]
                0.00    0.00     152/29846       .__module_comm_dm_NMOD_period_bdy_em_moist_sub [293]
                0.00    0.00     152/29846       .__module_comm_dm_NMOD_period_bdy_em_scalar_sub [294]
                0.00    0.00     153/29846       .ext_ncd_read_field [289]
                0.00    0.00     157/29846       .med_latbound_in [150]
                0.00    0.00     177/29846       .__ext_ncd_support_routines_NMOD_netcdf_err [292]
                0.00    0.00     300/29846       .__module_integrate_NMOD_integrate [3]
                0.00    0.00     300/29846       .__module_comm_dm_NMOD_halo_em_tke_5_sub [239]
                0.00    0.00     300/29846       .__module_comm_dm_NMOD_halo_em_d2_5_sub [238]
                0.00    0.00     300/29846       .__module_comm_dm_NMOD_halo_em_moist_e_5_sub [264]
                0.00    0.00     300/29846       .__module_comm_dm_NMOD_period_bdy_em_moist2_sub [287]
                0.00    0.00     300/29846       .__module_comm_dm_NMOD_period_bdy_em_chem2_sub [285]
                0.00    0.00     300/29846       .__module_comm_dm_NMOD_period_bdy_em_scalar2_sub [288]
                0.00    0.00     300/29846       .__module_comm_dm_NMOD_period_bdy_em_d_sub [286]
                0.00    0.00     300/29846       .__module_microphysics_driver_NMOD_microphysics_driver [15]
                0.00    0.00     302/29846       .__module_comm_dm_NMOD_period_bdy_em_chem_sub [284]
                0.00    0.00     450/29846       .__module_comm_dm_NMOD_halo_em_a_sub [262]
                0.00    0.00     450/29846       .__module_comm_dm_NMOD_halo_em_b_sub [223]
                0.00    0.00     450/29846       .__module_comm_dm_NMOD_halo_em_d_sub [263]
                0.00    0.00     450/29846       .__module_comm_dm_NMOD_period_bdy_em_a_sub [282]
                0.00    0.00     450/29846       .__module_comm_dm_NMOD_period_em_da_sub [283]
                0.00    0.00     450/29846       .__module_surface_driver_NMOD_surface_driver [96]
                0.00    0.00     628/29846       .wrf_write_field1 [143]
                0.00    0.00     860/29846       .wrf_read_field1 [164]
                0.00    0.00    1050/29846       .__module_comm_dm_NMOD_halo_em_c_sub [258]
                0.00    0.00    1050/29846       .__module_comm_dm_NMOD_halo_em_c2_sub [211]
                0.00    0.00    1050/29846       .__module_comm_dm_NMOD_period_bdy_em_b3_sub [240]
                0.00    0.00    1050/29846       .__module_first_rk_step_part1_NMOD_first_rk_step_part1 [12]
                0.00    0.00    1050/29846       .__module_first_rk_step_part2_NMOD_first_rk_step_part2 [16]
                0.00    0.00    1148/29846       .__module_io_NMOD_wrf_put_var_ti_char_arr [266]
                0.00    0.00    1500/29846       .__module_comm_dm_NMOD_period_bdy_em_b_sub [265]
                0.00    0.01    9150/29846       .solve_em [6]
[254]    0.0    0.00    0.01   29214         .wrf_debug <cycle 1> [254]
                0.01    0.00   28860/29168       .get_wrf_debug_level [252]
                0.00    0.00       2/2           .get_current_grid_name [627]
                0.00    0.00       2/14          .wrf_message [528]
                0.00    0.00       2             .get_current_time_string <cycle 1> [353]
-----------------------------------------------
                0.00    0.01      20/20          .call_pkg_and_dist [166]
[255]    0.0    0.00    0.01      20         .call_pkg_and_dist_int [255]
                0.00    0.01      20/860         .call_pkg_and_dist_generic [167]
                0.00    0.00      20/6308        .wrf_dm_on_monitor [394]
-----------------------------------------------
                0.00    0.01       6/6           .call_pkg_and_dist_generic [167]
[256]    0.0    0.00    0.01       6         .wrf_global_to_patch_integer [256]
                0.00    0.01       6/277         .wrf_global_to_patch_generic [171]
-----------------------------------------------
                0.00    0.01      19/19          .start_domain_em [103]
[257]    0.0    0.00    0.01      19         .*__module_bc_NMOD_set_physical_bc3d_stub_in_start_domain_em [257]
                0.01    0.00      19/18476       .__module_bc_NMOD_set_physical_bc3d [62]
-----------------------------------------------
                0.00    0.00    1050/1050        .solve_em [6]
[258]    0.0    0.00    0.00    1050         .__module_comm_dm_NMOD_halo_em_c_sub [258]
                0.00    0.00    4200/25840       .rsl_comm_iter [224]
                0.00    0.00    1050/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    8400/8400        .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_c_sub [379]
                0.00    0.00    2100/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     159             .__module_domain_NMOD_domain_clock_get <cycle 1> [260]
[259]    0.0    0.00    0.00     159         .wrf_timetoa <cycle 1> [259]
                0.00    0.00     159/462         .__esmf_timemod_NMOD_esmf_timeget [251]
                0.00    0.00     159/182         .wrf_check_error [467]
                0.00    0.00     159             .wrf_debug <cycle 1> [254]
-----------------------------------------------
                0.00    0.00       1             .get_current_time_string <cycle 1> [353]
                0.00    0.00       1/29846       .__module_domain_NMOD_domain_clockissimstarttime [346]
                0.00    0.00       1/29846       .__module_domain_NMOD_domain_setgmtetc [307]
                0.00    0.00       1/29846       .med_initialdata_input [100]
                0.00    0.00       1/29846       .input_wrf [160]
                0.00    0.00       2/29846       .open_hist_w [199]
                0.00    0.00       2/29846       .setup_timekeeping [309]
                0.00    0.00       4/29846       .output_wrf [139]
                0.00    0.00      27/29846       .__module_domain_NMOD_domain_alarm_create [311]
                0.00    0.00     150/29846       .__module_first_rk_step_part1_NMOD_first_rk_step_part1 [12]
                0.00    0.00     151/29846       .__module_domain_NMOD_domain_clockisstopsubtime [295]
                0.00    0.00     151/29846       .med_latbound_in [150]
                0.00    0.00     300/29846       .__module_domain_NMOD_domain_clockadvance [281]
[260]    0.0    0.00    0.00     792         .__module_domain_NMOD_domain_clock_get <cycle 1> [260]
                0.00    0.00     152/462         .__esmf_timemod_NMOD_esmf_timeget [251]
                0.00    0.00     768/1070        .__module_domain_NMOD_domain_get_current_time [430]
                0.00    0.00     301/301         .__module_domain_NMOD_domain_get_time_step [461]
                0.00    0.00     183/334         .__module_domain_NMOD_domain_get_start_time [448]
                0.00    0.00     152/152         .__module_domain_NMOD_domain_get_time_since_sim_start [483]
                0.00    0.00     152/302         .__esmf_timeintervalmod_NMOD_esmf_timeintervalget [456]
                0.00    0.00     150/151         .__module_domain_NMOD_domain_get_stop_time [487]
                0.00    0.00       3/155         .__module_domain_NMOD_domain_get_sim_start_time [479]
                0.00    0.00       1/1           .fraction_to_string [713]
                0.00    0.00     159             .wrf_timetoa <cycle 1> [259]
-----------------------------------------------
                0.00    0.00     628/1488        .collect_fld_and_call_pkg [144]
                0.00    0.00     860/1488        .call_pkg_and_dist [166]
[261]    0.0    0.00    0.00    1488         .dim_from_memorder [261]
                0.00    0.00    1488/11111       .lower_case [226]
-----------------------------------------------
                0.00    0.00     450/450         .solve_em [6]
[262]    0.0    0.00    0.00     450         .__module_comm_dm_NMOD_halo_em_a_sub [262]
                0.00    0.00    1800/25840       .rsl_comm_iter [224]
                0.00    0.00     450/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00   19800/19800       .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_a_sub [370]
                0.00    0.00     900/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     450/450         .solve_em [6]
[263]    0.0    0.00    0.00     450         .__module_comm_dm_NMOD_halo_em_d_sub [263]
                0.00    0.00    1800/25840       .rsl_comm_iter [224]
                0.00    0.00     450/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    9000/9000        .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_d_sub [377]
                0.00    0.00     900/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     300/300         .solve_em [6]
[264]    0.0    0.00    0.00     300         .__module_comm_dm_NMOD_halo_em_moist_e_5_sub [264]
                0.00    0.00    1200/25840       .rsl_comm_iter [224]
                0.00    0.00     300/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00     600/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00    1500/1500        .solve_em [6]
[265]    0.0    0.00    0.00    1500         .__module_comm_dm_NMOD_period_bdy_em_b_sub [265]
                0.00    0.00    1500/29846       .wrf_debug <cycle 1> [254]
-----------------------------------------------
                0.00    0.00    1148/1148        .wrf_ext_write_field [141]
[266]    0.0    0.00    0.00    1148         .__module_io_NMOD_wrf_put_var_ti_char_arr [266]
                0.00    0.00    1148/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    3444/6958        .multi_files [393]
                0.00    0.00    1148/3719        .__module_io_NMOD_get_handle [404]
                0.00    0.00    1148/2233        .use_output_servers [417]
                0.00    0.00    1148/4366        .use_package [398]
                0.00    0.00    1148/6308        .wrf_dm_on_monitor [394]
                0.00    0.00    1148/3507        .wrf_dm_bcast_bytes [407]
-----------------------------------------------
                0.00    0.00     150/150         .solve_em [6]
[267]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_chem_old_e_7_sub [267]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .solve_em [6]
[268]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_d3_5_sub [268]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    8400/8400        .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_d3_5_sub [381]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .solve_em [6]
[269]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_e_5_sub [269]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    8400/8400        .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_e_5_sub [382]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .__module_first_rk_step_part1_NMOD_first_rk_step_part1 [12]
[270]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_fdda_sfc_sub [270]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    3000/3000        .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_fdda_sfc_sub [409]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .solve_em [6]
[271]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_moist_e_7_sub [271]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .solve_em [6]
[272]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_moist_old_e_7_sub [272]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .__module_first_rk_step_part1_NMOD_first_rk_step_part1 [12]
[273]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_phys_a_sub [273]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    1200/1200        .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_phys_a_sub [424]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .__module_first_rk_step_part2_NMOD_first_rk_step_part2 [16]
[274]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_phys_diffusion_sub [274]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    7200/7200        .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_phys_diffusion_sub [392]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .solve_em [6]
[275]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_scalar_old_e_7_sub [275]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .solve_em [6]
[276]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_tke_7_sub [276]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    1200/1200        .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_tke_7_sub [426]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .__module_first_rk_step_part2_NMOD_first_rk_step_part2 [16]
[277]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_tke_c_sub [277]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    4800/4800        .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_tke_c_sub [396]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .__module_first_rk_step_part2_NMOD_first_rk_step_part2 [16]
[278]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_tke_d_sub [278]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    4200/4200        .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_tke_d_sub [399]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .__module_first_rk_step_part2_NMOD_first_rk_step_part2 [16]
[279]    0.0    0.00    0.00     150         .__module_comm_dm_NMOD_halo_em_tke_e_sub [279]
                0.00    0.00     600/25840       .rsl_comm_iter [224]
                0.00    0.00     150/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    3000/3000        .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_tke_e_sub [410]
                0.00    0.00     300/12920       .rsl_comm_iter_init [372]
-----------------------------------------------
                0.00    0.00     150/150         .__module_first_rk_step_part2_NMOD_first_rk_step_part2 [16]
[280]    0.0    0.00    0.00     150         .*__module_bc_NMOD_set_physical_bc2d_stub_in___module_first_rk_step_part2_NMOD_first_rk_step_part2 [280]
                0.00    0.00     150/6914        .__module_bc_NMOD_set_physical_bc2d [227]
-----------------------------------------------
                0.00    0.00     150/150         .__module_integrate_NMOD_integrate [3]
[281]    0.0    0.00    0.00     150         .__module_domain_NMOD_domain_clockadvance [281]
                0.00    0.00     300/29846       .__module_domain_NMOD_domain_clock_get <cycle 1> [260]
                0.00    0.00     300/307         .__module_domain_NMOD_domain_clockprint [290]
                0.00    0.00     150/150         .__esmf_clockmod_NMOD_esmf_clockadvance [494]
-----------------------------------------------
                0.00    0.00     450/450         .solve_em [6]
[282]    0.0    0.00    0.00     450         .__module_comm_dm_NMOD_period_bdy_em_a_sub [282]
                0.00    0.00     450/29846       .wrf_debug <cycle 1> [254]
-----------------------------------------------
                0.00    0.00     450/450         .solve_em [6]
[283]    0.0    0.00    0.00     450         .__module_comm_dm_NMOD_period_em_da_sub [283]
                0.00    0.00     450/29846       .wrf_debug <cycle 1> [254]
-----------------------------------------------
                0.00    0.00       2/302         .start_domain_em [103]
                0.00    0.00     150/302         .solve_em [6]
                0.00    0.00     150/302         .__module_first_rk_step_part2_NMOD_first_rk_step_part2 [16]
[284]    0.0    0.00    0.00     302         .__module_comm_dm_NMOD_period_bdy_em_chem_sub [284]
                0.00    0.00     302/29846       .wrf_debug <cycle 1> [254]
-----------------------------------------------
                0.00    0.00     300/300         .solve_em [6]
[285]    0.0    0.00    0.00     300         .__module_comm_dm_NMOD_period_bdy_em_chem2_sub [285]
                0.00    0.00     300/29846       .wrf_debug <cycle 1> [254]
-----------------------------------------------
                0.00    0.00     300/300         .solve_em [6]
[286]    0.0    0.00    0.00     300         .__module_comm_dm_NMOD_period_bdy_em_d_sub [286]
                0.00    0.00     300/29846       .wrf_debug <cycle 1> [254]
-----------------------------------------------
                0.00    0.00     300/300         .solve_em [6]
[287]    0.0    0.00    0.00     300         .__module_comm_dm_NMOD_period_bdy_em_moist2_sub [287]
                0.00    0.00     300/29846       .wrf_debug <cycle 1> [254]
-----------------------------------------------
                0.00    0.00     300/300         .solve_em [6]
[288]    0.0    0.00    0.00     300         .__module_comm_dm_NMOD_period_bdy_em_scalar2_sub [288]
                0.00    0.00     300/29846       .wrf_debug <cycle 1> [254]
-----------------------------------------------
                                                 <spontaneous>
[289]    0.0    0.00    0.00                 .ext_ncd_read_field [289]
                0.00    0.00     153/29846       .wrf_debug <cycle 1> [254]
                0.00    0.00    3988/8241        .__ext_ncd_support_routines_NMOD_netcdf_err [292]
                0.00    0.00     707/1021        .__ext_ncd_support_routines_NMOD_fieldio [313]
                0.00    0.00    2121/3063        .__ext_ncd_support_routines_NMOD_getindices [408]
                0.00    0.00     860/4625        .__ext_ncd_support_routines_NMOD_getdim [397]
                0.00    0.00     860/2529        .__ext_ncd_support_routines_NMOD_datecheck [414]
                0.00    0.00     860/3832        .__ext_ncd_support_routines_NMOD_getdh [401]
                0.00    0.00     860/1488        .__ext_ncd_support_routines_NMOD_extorder [419]
